cv_id,skills_text,technical_text,context_text,has_skills,has_technical,has_context
0,"Big Data, Hadoop, Hive, Python, Mapreduce, Spark, Java, Machine Learning, Cloud, Hdfs, YARN, Core Java, Data Science, C++, Data Structures, DBMS, RDBMS, Informatica, Talend, Amazon Redshift, Microsoft Azure ['Big Data']","EDUCATION: B.Tech in Electronics from The Amity School of Engineering & Technology (ASET), Noida (2019). EXPERIENCE: Big Data Analyst at Coca-COla (Nov 2019 - Till Date).",CAREER OBJECTIVE: Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development. RESPONSIBILITIES: Technical Support Troubleshooting Collaboration Documentation System Monitoring Software Deployment Training & Mentorship Industry Trends Field Visits,True,True,True
1,"Data Analysis, Data Analytics, Business Analysis, R, SAS, PowerBi, Tableau, Data Visualization, Business Analytics, Machine Learning [['Data Analysis', 'Business Analysis', 'Machine Learning']]",EDUCATION: B.Sc (Maths) in Mathematics from Delhi University - Hansraj College (2015). M.Sc (Science) (Statistics) in Statistics from Delhi University - Hansraj College (2018). EXPERIENCE: Business Analyst at BIB Consultancy (Sep 2019 - Till Date).,CAREER OBJECTIVE: Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models. RESPONSIBILITIES: Machine Learning Leadership Cross-Functional Collaboration Strategy Development ML/NLP Infrastructure Prototype Transformation ML System Design Algorithm Research Application Development Dataset Selection ML Testing Statistical Analysis R&D in ML/NLP Text Representation Data Pipeline Design Statistical Data Analysis Model Training Team Collaboration Research Reporting Algorithm Analysis,True,True,True
2,"Software Development, Machine Learning, Deep Learning, Risk Assessment, Requirement Gathering, Application Support, JavaScript, Python, Docker, HTML, Hive, CSS, C, C++ [['Unified Payment Interface', 'Risk Prediction', 'Big Data', 'Spark', 'PySpark']]","EDUCATION: B.Tech in Electronics/Telecommunication from Birla Institute of Technology (BIT), Ranchi (2018). EXPERIENCE: Software Developer (Machine Learning Engineer) at Axis Bank Limited (June 2018 - Till Date).","RESPONSIBILITIES: Trade Marketing Executive Brand Visibility, Sales Targets Field Marketing, Campaigns, Product Distribution Brand Head Excel, KPIs Tracking",True,True,True
3,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi, closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel, Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow, written [['accounts receivables', 'banking', 'G/L Accounts', 'accounts payables', 'credit cards', 'reconcile', 'commission reports', 'credit checks', 'customer service', 'international travel'], ['data entry', 'accounts receivable', 'cash handling', 'customer communication', 'inventory reports', 'problem-solving'], ['mortgage processing', 'analytical aptitude', 'credit reports', 'customer communication'], ['commercial auto underwriting', 'data entry', 'application review', 'customer communication'], ['personal auto underwriting', 'data entry', 'policy review', 'customer service'], ['training', 'medical record review', 'data entry', 'document design', 'customer service', 'team performance']]","EDUCATION: Computer Applications Specialist Certificate Program in Computer Applications from Martinez Adult Education, Business Training Center  City , State (2008). EXPERIENCE: Accountant at Company Name  City , State (January 2011 - November 2015). Accounts Receivable Clerk at Company Name  City , State (January 2008 - January 2010). Mortgage Underwriter at Company Name  City , State (January 2006 - January 2008). Commercial Auto Underwriter at Company Name  City , State (January 2004 - January 2006). Personal Auto Underwriter at Company Name  City , State (January 2001 - January 2004). Claims Examiner.","CAREER OBJECTIVE: To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes. RESPONSIBILITIES: Apparel Sourcing Quality Garment Sourcing Reliable Partner Buyer/Vendor Communication",True,True,True
4,"Analytical reasoning, Compliance testing knowledge, Effective time management, Public and private accounting, accounting, accounting systems, accounts payable, accounts receivable, administrative, AR, billing, closing, client, clients, documentation, financial, financial reports, preparation of financial reports, Preparation of financial statements, fixed assets, managing, month-end closing, policies, maintain records, reporting, Research, sales, tax, taxes, tax returns, annual reports, year-end [['collections', 'accounts receivable', 'financial reports', 'AR aging', 'customer queries', 'sales and use tax audits'], ['financial statements', 'GAAP', 'asset', 'liability', 'capital account', 'accounting controls', 'audits'], ['sales tax', 'tax returns', 'business licenses', 'annual reports', 'tax audits'], ['financial reporting', 'fixed assets', 'sales tax', 'cash projections', 'general ledger accounting'], ['audit procedures', 'substantive tests', 'internal accounting', 'tests of compliance', 'audit programs']]",EDUCATION: Bachelor of Business Administration in Accounting from Kent State University. EXPERIENCE: Staff Accountant at Company Name (January 2016 - Current). Senior Accountant at Company Name (January 2016 - January 2016). Tax Analyst at Company Name (January 2012 - January 2015). Staff Accountant II at Company Name (January 2009 - January 2011). Staff Auditor II at Company Name (January 2006 - January 2009).,"CAREER OBJECTIVE: Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills. RESPONSIBILITIES: iOS Lifecycle Requirement Analysis Native Frameworks iOS Development API Integration Technical Communication UI Design Performance Optimization Feature Collaboration Bug Fixing Code Translation High-Performance Development Task Management Cross-Team Collaboration Code Quality",True,True,True
5,"Microsoft Applications, Network Security, Networking, PC hardware and software installation, configuration, and troubleshooting, Remote Desktop and Help Desk Management, Verbal Communication, Technical Support, Team Leadership, Programming Languages, On-call tech support, Windows & Mac OS, Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial, Management, VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture, Application Development, Voice Over IP Telephone, Inventory Management [['Microsoft Applications', 'Windows Applications', 'Mac OS and IOS', 'Network routers', 'Cisco ASA firewall', 'Juniper Net-screen', 'LANs, WANs', 'Cloud Experience'], ['Microsoft applications', 'Windows and Mac OS', 'Linux', 'Web Development'], ['Customer Support', 'Technical Support', 'Network Administration', 'Inventory Management']]",EDUCATION: Bachelor Degree in Electronics and Communications Engineering Technology from Glen Oaks High School. Associate Degree in Software Development from Glen Oaks High School. EXPERIENCE: Engineering Systems Installer at Company Name (August 2006 - January 2013). IT Technician/QA Tester at Company Name (August 2013 - September 2014). Installation/Service Technician (July 2014 - Current).,"CAREER OBJECTIVE: To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself. RESPONSIBILITIES: Machine Learning Design Data Analysis Model Training AI Integration Innovation Cross-Functional Collaboration Model Deployment Documentation Analytical Skills Communication Team Collaboration",True,True,True
6,"Machine Learning, Linear Regression, Ridge Regression, Lasso Regression, Tableau, Time Series Analysis",EDUCATION: B.Tech in IT from DJR College and University (2020). EXPERIENCE: Intern at Remiro Amio (Jan 2019 - Sep 2019).,RESPONSIBILITIES: iOS Lifecycle Requirement Analysis Native Frameworks iOS Development API Integration Technical Communication UI Design Performance Optimization Feature Collaboration Bug Fixing Code Translation High-Performance Development Task Management Cross-Team Collaboration Code Quality,True,True,True
7,"Maintenance, Corrective Maintenance, Documentation, Industrial Machinery, Preventive Maintenance, Sensors, Biotechnology, Electrical Mechanical, Estimation, Hydraulics, Mechanical Technician, Pneumatics, Project Manager, Sop, Manufacturing Process, Apqp, Assembly, Circuit Boards, Dmm, Electrical Test, Esd, First Article Inspection, Inspection, Medical Devices, Oscilloscope, Production Process, Schematic, Soldering, Surface Mount, Test Engineer, Through-hole, Wiring, Calibration, Control Systems, Packaging, Process Control, Sensor, Temperature, And Humidity, Control System Design, Electrical Engineer, Engineer, Entry Level, Ieee, Mechanical/electrical Engineer, Proactive, Self Motivated, Testing, Training, Electrical Engineering, Pr, Public Relations [['Electrical Test', 'Soldering', 'Wiring', 'Troubleshooting'], ['Calibration', 'Troubleshooting', 'Preventive Maintenance', 'Installation'], ['Project Estimation', 'Corrective Maintenance', 'Preventive Maintenance', 'Installation']]",EDUCATION: Bachelor of Science in Electrical Engineering from POLYTECHNIC UNIVERSITY OF PUERTO RICO (2009). EXPERIENCE: Engineering Technician at Company Name (January 2013 - Current). Instrument Technician at Company Name (January 2011 - January 2012). Project Manager Assistance at Company Name (January 2005 - January 2011).,RESPONSIBILITIES: iOS Lifecycle Requirement Analysis Native Frameworks iOS Development API Integration Technical Communication UI Design Performance Optimization Feature Collaboration Bug Fixing Code Translation High-Performance Development Task Management Cross-Team Collaboration Code Quality,True,True,True
8,"Python, Machine Learning, MySQL, Data Mining, Deep Learning, Data Analysis, Computer Vision, Flask API, Predictive Modeling, AWS, Scikit-Learn, Numpy, Statistical Analysis, Multivariate Analysis, Decision Trees, Random Forest, Xgboost, NLP [['Data Analysis', 'Employee Satisfaction', 'HR Collaboration']]",EDUCATION: B.Tech/B.E. in Electronics/Telecommunication from Nagpur University (2019). EXPERIENCE: Associate Analyst at AMZ Loans and Mortgages ERC Analytics (Jun 2019 - till date).,"CAREER OBJECTIVE: Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy. RESPONSIBILITIES: Machinery Maintenance Troubleshooting Report Preparation Log Maintenance",True,True,True
9,"Django, Python, Relational databases, RestAPI, Github, Jira, PostgreSQL, Software development, Debugging, Machine learning, Natural language Processing, Artificial Intelligence, Data Analysis, Docker, Tornado, Software Developer, Project Management [['Developing', 'designing', 'optimizing automation script', 'crons', 'managing database conflicts', 'executing solution']]","EDUCATION: BCA in Computers from Dr. Virendra Swaroop Institute of Computer Studies, Kanpur (2016). MCA in Computers from Pranveer Singh Institute of Technology, Kanpur (2019). EXPERIENCE: Software Developer at Daffodil Software Pvt Ltd (Jan 2019 - Till Date).",RESPONSIBILITIES: Apparel Sourcing Quality Garment Sourcing Reliable Partner Buyer/Vendor Communication,True,True,True
